WeekOfMonth,WeekOfMonthClaimed,Age,PolicyNumber,RepNumber,Deductible,DriverRating,Year,Days_Policy_Accident_numeric,Days_Policy_Claim_numeric,PastNumberOfClaims_numeric,AgeOfVehicle_numeric,AgeOfPolicyHolder_numeric,NumberOfSuppliments_numeric,NumberOfCars_numeric,DaysToClaimRatio,IsYoungDriver,IsOldVehicle,AgeVehicleRatio,QuickClaim,NoPoliceReport,NoWitness,IsNewPolicy,HighDeductible,IsFrequentClaimant,AddressChanged,RiskScore,Month_Numerical,MonthClaimed_Numerical,DayOfWeek_Numerical,DayOfWeekClaimed_Numerical,Make_label_encoded,Make_frequency_encoded,AccidentArea_encoded,Sex_encoded,MaritalStatus_encoded,Fault_encoded,VehiclePrice_encoded,Days_Policy_Claim_encoded,PastNumberOfClaims_encoded,AgeOfVehicle_encoded,PoliceReportFiled_encoded,WitnessPresent_encoded,AgentType_encoded,NumberOfSuppliments_encoded,AddressChange_Claim_encoded,NumberOfCars_encoded,BasePolicy_encoded
2,2,33,922,12,400,3,1994,35,35,1,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,6,6,4,5,6,0.18164721141374837,1,1,0,0,1,2,1,5,0,0,0,3,0,0,1
5,1,30,10902,11,400,1,1995,35,35,3,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,7,8,6,4,0,0.03060959792477302,1,1,1,0,2,2,2,5,0,0,0,0,0,0,1
4,5,57,14851,4,400,4,1996,35,35,0,8,58,4,1,0.9722222222222222,0,1,6.444444444444445,0,1,1,0,0,0,0,2,9,9,7,4,6,0.18164721141374837,1,1,0,0,1,2,0,7,0,0,0,2,0,0,2
1,3,31,5635,4,400,1,1994,35,35,1,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,3,3,1,2,2,0.10901426718547341,1,1,0,0,1,2,1,5,0,0,0,0,0,0,2
3,3,37,7305,6,400,4,1995,35,35,1,7,38,6,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,3,3,5,5,6,0.18164721141374837,1,1,0,0,2,2,1,6,0,0,0,3,0,0,1
4,1,17,12021,3,400,4,1996,35,35,3,0,17,0,1,0.9722222222222222,1,0,17.0,0,1,1,0,0,1,0,3,12,1,4,2,6,0.18164721141374837,1,1,1,0,5,2,2,0,0,0,0,0,0,0,1
4,1,32,9331,9,400,4,1995,35,35,0,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,7,8,7,2,13,0.24883268482490273,0,0,0,0,1,2,0,5,0,0,0,0,0,0,0
2,3,27,3325,9,400,1,1994,35,35,5,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,1,1,5,3,2,0.10901426718547341,1,1,1,1,2,2,3,5,0,0,0,3,0,0,1
2,2,54,1638,1,400,4,1994,35,35,0,7,46,0,1,0.9722222222222222,0,1,5.75,0,1,1,0,0,0,0,2,8,8,3,5,6,0.18164721141374837,1,1,0,1,0,2,0,6,0,0,0,0,0,0,2
2,3,43,194,1,400,3,1994,35,35,0,6,38,0,1,0.9722222222222222,0,1,5.428571428571429,0,1,1,0,0,0,0,2,2,2,7,1,17,0.20239948119325551,1,0,0,0,1,2,0,5,0,0,0,0,0,0,2
5,1,33,12271,12,400,4,1996,35,35,0,7,33,0,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,0,0,2,6,7,4,1,13,0.24883268482490273,1,1,0,1,1,2,0,6,0,0,0,0,0,0,2
3,3,39,211,3,400,1,1994,35,35,0,8,38,6,2,0.9722222222222222,0,1,4.222222222222222,0,1,1,0,0,0,1,2,4,4,1,1,13,0.24883268482490273,1,1,1,0,1,2,0,7,0,0,0,3,4,1,0
5,1,40,3751,10,400,2,1994,35,35,3,7,38,6,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,6,7,4,6,2,0.10901426718547341,1,1,1,0,1,2,2,6,0,0,0,3,0,0,2
5,1,34,12411,10,400,2,1996,35,35,3,7,33,6,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,4,5,6,1,17,0.20239948119325551,1,1,0,1,1,2,2,6,0,0,0,3,0,0,2
4,4,72,5864,15,400,1,1994,35,35,3,7,70,6,4,0.9722222222222222,0,1,8.75,0,1,1,0,0,1,0,3,8,8,2,3,17,0.20239948119325551,1,1,0,0,5,2,2,6,0,0,0,3,0,2,2
3,4,22,10151,1,400,2,1995,35,35,5,5,28,2,1,0.9722222222222222,0,0,4.666666666666667,0,1,1,0,0,1,0,3,6,6,2,4,13,0.24883268482490273,0,1,1,0,1,2,3,4,0,0,0,1,0,0,1
4,1,29,5139,6,400,4,1994,35,35,3,5,33,0,1,0.9722222222222222,0,0,5.5,0,1,1,0,0,1,0,3,12,1,5,1,9,0.15265888456549936,0,1,0,0,1,2,2,4,0,0,0,0,0,0,2
4,4,35,2920,7,400,3,1994,35,35,3,6,33,0,2,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,1,3,10,10,7,1,13,0.24883268482490273,1,1,0,1,1,2,2,5,0,0,0,0,4,1,1
2,3,58,9931,7,400,2,1995,35,35,3,7,58,0,1,0.9722222222222222,0,1,7.25,0,1,1,0,0,1,0,3,2,2,2,3,6,0.18164721141374837,1,1,0,1,2,2,2,6,0,0,0,0,0,0,2
2,2,47,1889,15,400,3,1994,35,35,3,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,1,0,3,3,3,2,3,2,0.10901426718547341,1,0,0,0,5,2,2,7,0,0,0,0,0,0,0
3,3,41,2045,6,400,3,1994,35,35,5,5,38,0,1,0.9722222222222222,0,0,6.333333333333333,0,1,1,0,0,1,0,3,7,7,5,1,2,0.10901426718547341,1,1,0,0,1,2,3,4,0,0,0,0,0,0,1
2,2,33,9738,15,400,3,1995,35,35,5,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,1,3,7,7,2,2,9,0.15265888456549936,1,1,0,0,2,2,3,5,0,0,0,3,2,0,1
3,4,39,13229,16,400,3,1996,35,35,3,7,38,4,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,12,12,2,4,13,0.24883268482490273,1,1,0,0,1,2,2,6,0,0,0,2,0,0,1
4,1,32,8517,9,400,2,1995,35,35,3,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,4,5,5,3,6,0.18164721141374837,1,0,0,0,1,2,2,5,0,0,0,0,0,0,0
1,3,53,13943,1,400,4,1996,35,35,0,8,46,6,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,8,8,7,5,6,0.18164721141374837,1,1,0,0,1,2,0,7,0,0,0,3,0,0,0
5,1,54,1013,15,400,3,1994,35,35,3,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,1,0,3,8,9,3,2,9,0.15265888456549936,1,1,0,1,1,2,2,7,0,0,0,0,0,0,1
4,4,20,4448,5,400,3,1994,35,35,5,4,23,4,1,0.9722222222222222,1,0,4.6,0,1,1,0,0,1,0,3,3,3,2,6,17,0.20239948119325551,1,1,1,1,2,2,3,3,0,0,0,2,0,0,2
4,4,34,2404,9,400,2,1994,35,35,3,3,33,6,1,0.9722222222222222,0,0,8.25,0,1,1,0,0,1,0,3,7,9,2,2,13,0.24883268482490273,1,0,1,0,1,2,2,2,0,0,0,3,0,0,2
3,3,28,2390,1,400,1,1994,35,35,0,6,33,0,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,7,7,4,2,17,0.20239948119325551,1,1,1,0,1,2,0,5,0,0,0,0,0,0,2
2,2,49,14235,10,400,3,1996,35,35,0,8,46,0,1,0.9722222222222222,0,1,5.111111111111111,0,1,1,0,0,0,0,2,2,2,1,1,13,0.24883268482490273,1,1,0,0,1,2,0,7,0,0,0,0,0,0,1
3,3,29,13444,5,400,2,1996,35,35,3,7,33,2,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,11,11,1,2,6,0.18164721141374837,1,1,0,0,2,2,2,6,0,0,0,1,0,0,1
2,3,30,9997,9,500,2,1995,35,35,5,6,33,6,2,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,1,1,1,3,2,2,4,2,13,0.24883268482490273,1,1,1,0,1,2,3,5,0,0,0,3,3,1,0
1,2,38,8122,1,400,2,1995,35,35,1,7,38,2,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,9,9,2,1,17,0.20239948119325551,1,1,0,0,5,2,1,6,0,0,0,1,0,0,1
1,2,38,2173,14,400,1,1994,35,35,0,7,38,2,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,0,2,11,11,1,3,13,0.24883268482490273,1,1,0,0,1,2,0,6,0,0,0,1,0,0,0
1,1,35,15183,12,400,2,1996,35,35,3,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,1,0,3,10,10,2,2,13,0.24883268482490273,1,1,1,0,1,2,2,5,0,0,0,3,0,0,1
2,3,28,3126,14,400,2,1994,35,35,3,7,33,4,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,5,5,2,1,13,0.24883268482490273,1,1,0,1,2,2,2,6,0,0,0,2,0,0,0
2,3,35,4398,7,400,1,1994,35,35,1,6,33,6,1,0.9722222222222222,0,1,4.714285714285714,0,1,1,0,0,0,0,2,6,6,5,1,17,0.20239948119325551,1,1,1,0,1,2,1,5,0,0,0,3,0,0,2
2,3,29,8882,2,400,4,1995,35,35,0,4,33,0,1,0.9722222222222222,0,0,6.6,0,1,1,0,0,0,0,2,9,9,5,3,13,0.24883268482490273,1,1,0,0,1,2,0,3,0,0,0,0,0,0,2
2,3,40,12194,2,400,1,1996,35,35,3,7,38,0,1,0.9722222222222222,0,1,4.75,0,1,1,0,0,1,0,3,5,5,6,4,6,0.18164721141374837,1,1,0,1,2,2,2,6,0,0,1,0,0,0,0
1,2,50,11803,7,400,2,1996,35,35,3,7,46,0,2,0.9722222222222222,0,1,5.75,0,1,1,0,0,1,1,3,9,9,3,4,9,0.15265888456549936,1,1,0,0,1,2,2,6,0,0,0,0,4,1,1
1,1,31,5962,4,400,4,1994,35,35,0,4,33,0,1,0.9722222222222222,0,0,6.6,0,1,1,0,0,0,0,2,11,11,5,5,9,0.15265888456549936,1,1,0,0,1,2,0,3,0,0,0,0,0,0,0
2,2,33,6497,9,400,2,1995,35,35,3,7,33,6,1,0.9722222222222222,0,1,4.125,0,1,1,0,0,1,0,3,7,11,3,3,17,0.20239948119325551,1,1,1,0,2,2,2,6,0,0,1,3,0,0,0
1,4,25,12100,5,400,2,1996,35,35,1,4,28,0,1,0.9722222222222222,0,0,5.6,0,1,1,0,0,0,0,2,6,9,2,4,2,0.10901426718547341,1,1,0,0,1,2,1,3,0,0,0,0,0,0,0
2,3,41,5818,7,400,1,1994,35,35,0,7,38,0,2,0.9722222222222222,0,1,4.75,0,1,1,0,0,0,1,2,7,7,3,3,6,0.18164721141374837,1,1,0,1,2,2,0,6,0,0,0,0,4,1,2
4,2,48,1049,5,400,3,1994,35,35,1,7,46,0,1,0.9722222222222222,0,1,5.75,0,1,1,0,0,0,0,2,6,7,2,5,6,0.18164721141374837,1,1,0,1,5,2,1,6,0,0,0,0,0,0,0
1,1,69,7704,6,400,4,1995,35,35,1,8,70,6,1,0.9722222222222222,0,1,7.777777777777778,0,1,1,0,0,0,0,2,7,7,1,1,6,0.18164721141374837,1,1,0,0,1,2,1,7,0,0,0,3,0,0,1
